Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197250373, 205097, -5104, -3696, 4736
1590197250404, 205127, -5184, -3680, 4768
1590197250432, 205157, -5152, -3792, 4704
1590197250463, 205187, -5024, -3776, 4768
1590197250493, 205217, -5040, -3856, 4912
1590197250523, 205247, -4960, -3856, 5008
1590197250552, 205277, -5008, -3888, 4992
1590197250582, 205307, -5072, -3680, 4896
1590197250613, 205337, -5072, -3600, 4784
1590197250642, 205367, -5104, -3728, 4848
1590197250672, 205397, -5184, -3712, 4800
1590197250702, 205427, -5136, -3712, 4768
1590197250732, 205457, -5152, -3904, 4784
1590197250763, 205487, -5168, -3872, 4784
1590197250792, 205517, -5136, -3952, 4784
1590197250822, 205547, -5088, -4080, 4992
1590197250852, 205577, -5200, -3936, 4960
1590197250883, 205607, -5296, -3904, 5104
1590197250913, 205637, -5232, -3760, 5136
