Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197074243, 28967, -4016, -752, 7072
1590197074273, 28997, -4048, -848, 7088
1590197074303, 29027, -4048, -720, 7040
1590197074334, 29057, -4064, -768, 7104
1590197074363, 29087, -4048, -736, 7040
1590197074393, 29117, -4048, -768, 7008
1590197074423, 29147, -4032, -704, 7168
1590197074453, 29177, -4016, -768, 7168
1590197074483, 29207, -4048, -848, 7056
1590197074513, 29237, -4080, -800, 6992
1590197074543, 29267, -4000, -800, 7088
1590197074573, 29297, -4000, -688, 7072
1590197074604, 29327, -4032, -720, 7072
1590197074634, 29357, -4032, -752, 7088
1590197074663, 29387, -4080, -736, 6960
1590197074693, 29417, -4080, -784, 6880
1590197074723, 29447, -4080, -944, 6736
1590197074752, 29477, -4112, -1216, 6528
1590197074783, 29507, -4336, -1376, 6304
1590197074813, 29537, -5008, -1088, 5760
1590197074843, 29567, -6544, 80, 5248
1590197074874, 29597, -9440, 3728, 6688
1590197074903, 29627, -9696, 9920, 12432
1590197074933, 29657, -7696, 10704, 19504
1590197074964, 29687, -4352, 5744, 26864
1590197074993, 29717, -304, -1904, 28832
1590197075023, 29747, 6944, -6608, 15216
1590197075054, 29777, 11408, -7888, -2016
1590197075083, 29807, 11952, -10800, -9456
1590197075114, 29837, 16816, -20448, -12624
1590197075144, 29867, 18880, -24496, -18144
1590197075173, 29897, 19984, -22976, -14224
1590197075203, 29927, 23104, -14672, 5952
1590197075234, 29957, 14144, -4672, 31248
1590197075263, 29987, -560, 7376, 32640
1590197075294, 30017, 432, 17776, 32176
1590197075323, 30047, -4848, 12784, 14048
1590197075353, 30077, -7120, 4880, 6400
1590197075383, 30107, -6912, 16, 6064
1590197075413, 30137, -6032, -2848, 6032
1590197075443, 30167, -5808, -3680, 5488
1590197075473, 30197, -4960, -3104, 5664
1590197075504, 30227, -4432, -2448, 6880
1590197075533, 30257, -4048, -1296, 7072
1590197075563, 30287, -4016, -288, 6400
1590197075593, 30317, -4080, -384, 6784
1590197075623, 30347, -4048, -96, 6800
1590197075653, 30377, -4304, -240, 6912
1590197075684, 30407, -4480, 240, 6384
1590197075713, 30437, -4096, 944, 6080
1590197075743, 30467, -4080, 1120, 6608
1590197075773, 30497, -3856, 1280, 7104
