Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197188123, 142847, 8080, 544, 976
1590197188154, 142877, 8144, 240, 1136
1590197188183, 142907, 8176, 432, 1072
1590197188212, 142937, 8144, 288, 1120
1590197188244, 142967, 8096, 416, 864
1590197188273, 142997, 8048, 336, 848
1590197188302, 143027, 8048, 256, 800
1590197188333, 143057, 8064, 336, 1024
1590197188363, 143087, 8032, 448, 960
1590197188393, 143117, 8128, 256, 896
1590197188423, 143147, 8096, 304, 992
1590197188454, 143177, 8128, 224, 976
1590197188483, 143207, 8176, 144, 832
1590197188513, 143237, 8192, 320, 832
1590197188543, 143267, 8144, 320, 1088
1590197188573, 143297, 8208, 208, 1072
1590197188604, 143327, 8640, -480, 688
1590197188634, 143357, 8944, -288, 80
1590197188662, 143387, 9376, -688, -48
1590197188693, 143417, 9840, -1312, 416
1590197188723, 143447, 9952, -1264, 176
1590197188753, 143477, 9648, -752, -1152
1590197188784, 143507, 9680, -784, -2352
1590197188814, 143537, 9824, -224, -2976
1590197188843, 143567, 9696, 512, -2816
1590197188874, 143597, 9728, 1616, -4112
1590197188903, 143627, 9552, 3088, -5792
1590197188933, 143657, 8464, 4416, -6640
1590197188964, 143687, 5968, 4064, -4640
1590197188994, 143717, -192, 4752, -272
1590197189024, 143747, -11136, 11728, 4912
1590197189053, 143777, -27472, 30288, 11264
1590197189084, 143807, -32624, 32640, 16992
1590197189114, 143837, -32624, 17104, 27200
1590197189144, 143867, -32624, -32480, 25248
1590197189174, 143897, -26880, -32624, 17696
1590197189204, 143927, -4032, -32624, 16288
1590197189233, 143957, 5792, -26416, 5008
1590197189264, 143987, 5648, -19712, 976
1590197189293, 144017, 5072, -13584, -1808
1590197189323, 144047, 4704, -9296, 1424
1590197189353, 144077, 2224, -6816, 5120
1590197189384, 144107, 2192, -7200, 5552
1590197189413, 144137, 1952, -7616, 5808
1590197189443, 144167, 2208, -7200, 4320
1590197189473, 144197, 2640, -7104, 3280
1590197189504, 144227, 3056, -6688, 2832
1590197189533, 144257, 3616, -5824, 3056
1590197189564, 144287, 3728, -5232, 3024
