Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197393321, 348047, 5744, -768, 5696
1590197393351, 348077, 5744, -752, 5600
1590197393380, 348107, 5776, -848, 5504
1590197393411, 348137, 5840, -816, 5520
1590197393440, 348167, 5760, -816, 5616
1590197393470, 348197, 5776, -960, 5552
1590197393500, 348227, 5712, -880, 5472
1590197393531, 348257, 5744, -944, 5536
1590197393560, 348287, 5808, -880, 5680
1590197393590, 348317, 5872, -768, 5744
1590197393621, 348347, 5760, -752, 5552
1590197393650, 348377, 5792, -768, 5584
1590197393680, 348407, 5792, -784, 5648
1590197393710, 348437, 5696, -784, 5472
1590197393741, 348467, 5024, -1936, 4944
1590197393770, 348497, 1488, -4256, 2112
1590197393801, 348527, -3920, -5664, -3616
1590197393831, 348557, -10240, -3648, -9488
1590197393861, 348587, -12592, -1360, -2384
1590197393890, 348617, -11072, 1712, 14720
1590197393921, 348647, -192, -5808, 31904
1590197393951, 348677, 11536, -11488, 32528
1590197393981, 348707, 21648, -11056, 28880
1590197394011, 348737, 15552, -11024, 15888
1590197394041, 348767, 7392, -10800, 12768
1590197394070, 348797, 1168, -8192, 11168
1590197394100, 348827, -6272, 0, 10896
1590197394132, 348857, -9728, 4592, 7904
1590197394160, 348887, -8624, 8320, 2864
1590197394191, 348917, -6368, 6848, -1648
1590197394221, 348947, -1312, 2464, -3056
1590197394250, 348977, 2352, 352, -2048
1590197394280, 349007, 4960, -464, 784
1590197394310, 349037, 6784, -800, 3232
1590197394340, 349067, 7536, -464, 4912
1590197394371, 349097, 7184, 656, 6096
1590197394401, 349127, 6336, 1456, 6336
