Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197127313, 82037, 4336, -1360, 6112
1590197127343, 82067, 4448, -1600, 6016
1590197127373, 82097, 4608, -1648, 5824
1590197127402, 82127, 4704, -1760, 5856
1590197127432, 82157, 4736, -1744, 6080
1590197127462, 82187, 4800, -1920, 6256
1590197127492, 82217, 4848, -2160, 6224
1590197127522, 82247, 4896, -2304, 6272
1590197127552, 82277, 4896, -2208, 6304
1590197127582, 82307, 4880, -2480, 6064
1590197127612, 82337, 4832, -3072, 5792
1590197127643, 82367, 4256, -4992, 5568
1590197127673, 82397, 3376, -8576, 5296
1590197127703, 82427, 3056, -12720, 5152
1590197127733, 82457, 2144, -15056, 4576
1590197127763, 82487, 96, -12960, 7584
1590197127793, 82517, -1760, -8112, 10800
1590197127822, 82547, -1056, -5104, 9824
1590197127853, 82577, 1120, -3888, 8336
1590197127882, 82607, 2496, -2000, 7824
1590197127912, 82637, 4272, -448, 9760
1590197127943, 82667, 5536, 5808, 11136
1590197127973, 82697, 7504, 7488, 11648
1590197128002, 82727, 8160, 8656, 14096
1590197128032, 82757, 5648, 12448, 15648
1590197128062, 82787, 2928, 12544, 14992
1590197128092, 82817, 64, 4944, 19184
1590197128122, 82847, -5936, 5008, 21920
1590197128153, 82877, -17792, 5856, 31808
1590197128182, 82907, -32240, -9776, 32640
1590197128213, 82937, -32624, -32576, 26832
1590197128243, 82967, -32624, -32624, -30768
1590197128274, 82997, -10864, -23568, -26976
1590197128303, 83027, -6192, -12384, -19376
1590197128332, 83057, -144, -12656, -10848
1590197128362, 83087, 1744, -9328, -1264
1590197128393, 83117, 4256, -7536, 2000
1590197128423, 83147, 6560, -6544, 3360
1590197128452, 83177, 6352, -4720, 2576
1590197128482, 83207, 5936, -4336, 1904
1590197128513, 83237, 5920, -4352, 1424
1590197128543, 83267, 6112, -4048, 1168
1590197128572, 83297, 6464, -4064, 1392
1590197128602, 83327, 6656, -4048, 1680
1590197128633, 83357, 6832, -4048, 2272
1590197128663, 83387, 6848, -4080, 3040
1590197128693, 83417, 6288, -3056, 3296
