Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197322461, 277187, 5472, 2864, 4976
1590197322491, 277217, 5408, 2912, 4912
1590197322521, 277247, 5392, 2816, 4864
1590197322552, 277277, 5328, 2976, 5008
1590197322582, 277307, 5392, 3008, 4992
1590197322611, 277337, 5376, 3088, 5168
1590197322642, 277367, 5440, 3024, 5152
1590197322672, 277397, 5552, 2992, 5168
1590197322702, 277427, 5584, 2880, 5216
1590197322731, 277457, 5664, 2912, 5168
1590197322761, 277487, 5984, 2848, 4832
1590197322791, 277517, 7248, 2768, 4416
1590197322822, 277547, 10352, 3520, 4912
1590197322852, 277577, 12800, 6496, 7504
1590197322882, 277607, 10720, 10896, 13152
1590197322912, 277637, 4560, 15968, 16144
1590197322942, 277667, -4528, 22176, 13920
1590197322972, 277697, -14304, 25264, 11280
1590197323001, 277727, -20816, 10992, 6224
1590197323032, 277757, -25216, -11232, 1904
1590197323062, 277787, -21472, -21280, -6976
1590197323092, 277817, -13440, -24512, -8368
1590197323122, 277847, -6432, -26672, -10272
1590197323152, 277877, -1984, -25792, -8944
1590197323181, 277907, -304, -22944, -5040
1590197323212, 277937, -2144, -13744, 1856
1590197323242, 277967, -2672, -7056, 8400
1590197323271, 277997, -1552, 512, 15616
1590197323302, 278027, 48, 12592, 25408
1590197323332, 278057, 4784, 19968, 25472
1590197323362, 278087, 10544, 13024, 20560
1590197323391, 278117, 11056, 1440, 15984
1590197323422, 278147, 8128, -8448, 13456
1590197323451, 278177, 5024, -14880, 7760
1590197323481, 278207, 1456, -15488, 6016
1590197323512, 278237, -144, -13120, 4192
1590197323541, 278267, -2048, -11632, 4672
1590197323572, 278297, -1952, -9632, 6448
1590197323602, 278327, -928, -6848, 6352
1590197323632, 278357, 176, -3584, 5888
1590197323662, 278387, 1088, -1808, 7104
