Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197216562, 171287, 5376, -2496, 5328
1590197216593, 171317, 5408, -2416, 5280
1590197216623, 171347, 5424, -2416, 5248
1590197216653, 171377, 5536, -2400, 5328
1590197216683, 171407, 5520, -2368, 5344
1590197216713, 171437, 5552, -2416, 5280
1590197216743, 171467, 5552, -2240, 5360
1590197216772, 171497, 5504, -2176, 5600
1590197216803, 171527, 5552, -2128, 5408
1590197216833, 171557, 5488, -2032, 5104
1590197216863, 171587, 5536, -1744, 4384
1590197216893, 171617, 6144, -576, 3744
1590197216923, 171647, 8496, 3360, 3776
1590197216953, 171677, 12480, 9216, 5840
1590197216983, 171707, 17264, 3856, 12144
1590197217012, 171737, 16656, -6304, 15984
1590197217044, 171767, 10144, -16512, 14656
1590197217073, 171797, 16, -17216, 5696
1590197217103, 171827, -8448, -23376, -2432
1590197217133, 171857, -8992, -24384, -6720
1590197217163, 171887, -12768, -13472, -7104
1590197217193, 171917, -14416, -5584, -7568
1590197217224, 171947, -14720, -1616, -2944
1590197217254, 171977, -17152, 4048, 4080
1590197217283, 172007, -15456, 3040, 7424
1590197217312, 172037, -12656, 5376, 9168
1590197217343, 172067, -10496, 11456, 10432
1590197217373, 172097, -6448, 14304, 17520
1590197217403, 172127, -112, 8272, 30624
1590197217434, 172157, 7664, -7840, 32640
1590197217464, 172187, 12144, -15312, 32544
1590197217494, 172217, 12976, -20400, 20464
1590197217523, 172247, 11168, -23696, 7152
1590197217553, 172277, 10416, -17888, 2288
1590197217583, 172307, 4160, -10768, -192
1590197217613, 172337, 1600, -8272, -1264
1590197217643, 172367, 976, -6928, -1136
1590197217673, 172397, 1872, -6960, -992
1590197217703, 172427, 2400, -6752, 1312
1590197217732, 172457, 3360, -5808, 2496
