Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197278932, 233657, 5168, -1456, 6016
1590197278962, 233687, 5168, -1456, 6080
1590197278992, 233717, 5184, -1456, 6080
1590197279022, 233747, 5168, -1584, 6096
1590197279052, 233777, 5200, -1424, 5952
1590197279083, 233807, 5168, -1392, 5984
1590197279112, 233837, 5248, -1504, 5952
1590197279142, 233867, 5184, -1248, 6080
1590197279172, 233897, 5104, -1296, 6208
1590197279202, 233927, 5200, -1408, 5888
1590197279231, 233957, 5072, -1424, 5728
1590197279262, 233987, 5104, -1344, 5616
1590197279292, 234017, 5136, -896, 5360
1590197279322, 234047, 5536, 224, 4384
1590197279352, 234077, 7424, 3232, 4624
1590197279382, 234107, 9072, 4832, 7696
1590197279412, 234137, 11120, 2960, 10272
1590197279442, 234167, 11856, -2288, 10160
1590197279473, 234197, 10384, -11328, 11424
1590197279503, 234227, 8096, -15280, 8880
1590197279532, 234257, 2000, -16320, 6688
1590197279562, 234287, -1728, -20160, 2672
1590197279593, 234317, -3264, -20768, 784
1590197279622, 234347, -5792, -16384, 288
1590197279652, 234377, -10112, -8832, -2224
1590197279682, 234407, -13456, -3504, -1712
1590197279712, 234437, -16528, 5200, 432
1590197279742, 234467, -15344, 8352, -752
1590197279772, 234497, -12080, 8512, -592
1590197279803, 234527, -9184, 10992, 3520
1590197279833, 234557, -7440, 16720, 16128
1590197279862, 234587, -2352, 16512, 32496
1590197279892, 234617, 6800, -4560, 32640
1590197279923, 234647, 13056, -16368, 32640
1590197279952, 234677, 13424, -24752, 25216
1590197279983, 234707, 10208, -29680, 10256
1590197280012, 234737, 6960, -24384, -1840
1590197280042, 234767, 2528, -15392, -3648
1590197280072, 234797, 64, -10352, -4768
1590197280102, 234827, -1456, -5792, -4992
1590197280132, 234857, -2112, -4160, -2704
1590197280161, 234887, -1968, -2528, 48
1590197280192, 234917, -112, -2304, 2112
1590197280222, 234947, 2320, -2112, 3616
