Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197296962, 251687, 6080, -1328, 5136
1590197296992, 251717, 6000, -1392, 5184
1590197297022, 251747, 6080, -1392, 5184
1590197297051, 251777, 6048, -1408, 5136
1590197297082, 251807, 6032, -1344, 5152
1590197297112, 251837, 6080, -1280, 5200
1590197297142, 251867, 6048, -1504, 5232
1590197297172, 251897, 6016, -1376, 5280
1590197297202, 251927, 6048, -1408, 5168
1590197297232, 251957, 6096, -1248, 5232
1590197297262, 251987, 6128, -992, 5280
1590197297292, 252017, 6288, -976, 5408
1590197297322, 252047, 6272, -944, 5472
1590197297352, 252077, 6256, -432, 5280
1590197297382, 252107, 6064, 336, 5600
1590197297412, 252137, 4544, -2144, 5056
1590197297442, 252167, 3152, -13792, 1248
1590197297472, 252197, 4576, -26368, -4128
1590197297502, 252227, 4336, -23536, -3968
1590197297531, 252257, -2672, -10864, 2944
1590197297561, 252287, -6400, 1488, 8672
1590197297592, 252317, -7696, 18192, 15088
1590197297622, 252347, -9456, 32016, 17568
1590197297652, 252377, -4960, 30624, 13872
1590197297682, 252407, -4528, 20432, 15248
1590197297712, 252437, -4752, 6512, 22240
1590197297742, 252467, -8336, -14640, 27984
1590197297772, 252497, -8272, -31680, 12144
1590197297802, 252527, -5120, -32624, -3504
1590197297831, 252557, -5696, -23296, -2160
1590197297862, 252587, -8608, -14656, 80
1590197297892, 252617, -7968, -12064, 464
1590197297922, 252647, -8272, -9648, 4304
1590197297952, 252677, -7200, -9248, 8080
1590197297982, 252707, -5184, -4832, 13120
1590197298012, 252737, -1584, 1168, 14592
1590197298042, 252767, 3856, 4384, 17936
1590197298072, 252797, 5824, 6272, 20880
1590197298102, 252827, 4672, 5424, 15216
1590197298132, 252857, 2576, -192, 7712
1590197298162, 252887, 960, -6176, 4944
1590197298192, 252917, 64, -9216, 5808
1590197298221, 252947, -240, -8368, 6576
1590197298251, 252977, 64, -6544, 6368
1590197298282, 253007, 528, -4528, 6576
