Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197349761, 304487, 5216, -1680, 5456
1590197349792, 304517, 5328, -1888, 5200
1590197349821, 304547, 5424, -2016, 5184
1590197349851, 304577, 5520, -2384, 5456
1590197349882, 304607, 5776, -2384, 5632
1590197349911, 304637, 5776, -2384, 5616
1590197349941, 304667, 5872, -2224, 5776
1590197349971, 304697, 5792, -2160, 5792
1590197350001, 304727, 5536, -2112, 5408
1590197350031, 304757, 5168, -1712, 4672
1590197350061, 304787, 3536, 192, 3792
1590197350092, 304817, 1552, 2928, 1456
1590197350121, 304847, 1248, 1024, 0
1590197350151, 304877, 3184, -1312, 4320
1590197350181, 304907, 3824, -11904, 12736
1590197350211, 304937, 11840, -32512, 18848
1590197350242, 304967, 18336, -32624, 17184
1590197350272, 304997, -2496, -10896, 16688
1590197350302, 305027, -19520, 17680, 1376
1590197350332, 305057, -22992, 32544, -8992
1590197350361, 305087, -22032, 31232, -13488
1590197350392, 305117, -20512, 2256, -2512
1590197350422, 305147, -14112, -22432, 18000
1590197350452, 305177, 3840, -32624, 29696
1590197350481, 305207, 18672, -32624, 12608
1590197350511, 305237, 7760, -32624, 5200
1590197350542, 305267, -18144, 4416, 6208
1590197350572, 305297, -25616, 31872, -6496
1590197350602, 305327, -24256, 32640, -10800
1590197350632, 305357, -22048, 12464, -1744
1590197350661, 305387, -16048, -20784, 14272
1590197350692, 305417, 4816, -32624, 22608
1590197350722, 305447, 22560, -32624, 13296
1590197350752, 305477, 4560, -25584, 9264
1590197350781, 305507, -17744, 11872, 4976
1590197350812, 305537, -24000, 32512, -4672
1590197350842, 305567, -22960, 32640, -11728
1590197350871, 305597, -19744, 8544, -3568
1590197350902, 305627, -11888, -19264, 14208
1590197350932, 305657, 6080, -32624, 17200
1590197350961, 305687, 13792, -32320, 15952
1590197350991, 305717, 7296, -12640, 12592
