Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590197169733, 124457, 304, 288, 8208
1590197169763, 124487, 256, 416, 8112
1590197169793, 124517, 352, 176, 8064
1590197169823, 124547, 432, 144, 7952
1590197169853, 124577, 432, 80, 8016
1590197169883, 124607, 416, 96, 8112
1590197169913, 124637, 448, 144, 8192
1590197169943, 124667, 496, 224, 8304
1590197169974, 124697, 576, 336, 8352
1590197170003, 124727, 432, 432, 8752
1590197170033, 124757, 400, 352, 8768
1590197170062, 124787, 336, 64, 7936
1590197170093, 124817, -336, -544, 6144
1590197170123, 124847, -1984, -1776, 2048
1590197170154, 124877, -3312, -4256, -3472
1590197170184, 124907, -4416, -2768, -5424
1590197170214, 124937, -6688, -304, -4064
1590197170243, 124967, -8480, 272, 8000
1590197170274, 124997, -9584, 800, 12800
1590197170303, 125027, -7600, -96, 12768
1590197170333, 125057, -6384, 128, 12384
1590197170363, 125087, -7728, 2720, 14624
1590197170393, 125117, -4656, 4448, 15472
1590197170423, 125147, -1536, 3008, 9040
1590197170454, 125177, -960, 3424, 11648
1590197170483, 125207, -64, 448, 10896
1590197170513, 125237, 1536, -1552, 11232
1590197170544, 125267, -1248, -784, 14512
1590197170573, 125297, -16864, 1328, 27840
1590197170604, 125327, -32592, 16608, 32640
1590197170634, 125357, -32624, -4000, 7920
1590197170664, 125387, -32624, -17728, -31152
1590197170694, 125417, -12352, -21936, -31888
1590197170724, 125447, -5216, -11584, -14992
1590197170753, 125477, -7776, -1328, 1536
1590197170784, 125507, -8208, 288, 9296
1590197170813, 125537, -5424, -1344, 8800
1590197170844, 125567, -3264, -1840, 9904
1590197170873, 125597, -3392, -912, 8896
1590197170903, 125627, -4064, -928, 7632
1590197170934, 125657, -4512, -1264, 6688
1590197170963, 125687, -4816, -800, 6928
1590197170994, 125717, -4864, -624, 7232
1590197171024, 125747, -4832, -528, 7376
1590197171054, 125777, -4608, -752, 7392
1590197171083, 125807, -4336, -1040, 7280
1590197171113, 125837, -4416, -1088, 7248
1590197171144, 125867, -4256, -368, 7344
